calories,distance,duration,start_time,end_time,steps,avg_pace,data_training
730,10014,3425,11:29:15,12:26:20,8932,5.7,2023-05-29
691,10022,2973,19:20:52,20:10:33,7719,4.94,2023-05-31
672,10014,3000,20:41:05,21:31:22,7950,4.99,2023-06-01
760,10222,3162,20:59:59,21:56:25,8218,5.16,2023-06-04
683,10017,2964,13:10:54,14:00:18,7674,4.93,2023-06-06
693,10019,2839,20:30:44,21:18:02,7463,4.72,2023-06-07
692,10022,2881,20:07:56,20:55:58,7553,4.79,2023-06-08
810,10014,3678,20:49:06,21:50:25,8446,6.12,2023-06-18
808,10011,3519,12:09:35,13:08:14,8355,5.86,2023-06-20
671,8809,2763,17:06:25,17:58:00,6874,5.23,2023-06-21
799,10006,2979,19:33:34,20:23:13,0,4.96,2023-06-22
738,10016,2913,18:02:23,18:50:57,7517,4.85,2023-06-25
718,10020,3020,19:28:08,20:18:28,7699,5.02,2023-06-26
705,10014,2949,18:03:15,18:52:24,7655,4.91,2023-06-28
801,10011,2974,18:56:43,19:46:17,0,4.95,2023-07-01
805,10012,3154,20:42:41,21:35:16,0,5.25,2023-07-02
800,10012,2837,20:20:44,21:08:02,0,4.72,2023-07-04
295,3938,1231,15:26:43,16:00:52,0,5.21,2023-07-06
800,10016,2863,20:45:17,21:33:01,0,4.76,2023-07-08
505,6663,2174,21:02:05,21:43:43,5526,5.44,2023-07-13
696,10015,2924,20:57:24,21:46:08,7783,4.87,2023-07-16
671,10014,2864,21:16:43,22:04:39,7746,4.77,2023-07-17
727,10020,3166,20:09:58,21:02:45,8302,5.27,2023-07-29
712,10013,3066,20:30:04,21:21:10,8063,5.1,2023-07-30
737,10014,2896,20:22:39,21:10:55,7463,4.82,2023-08-01
678,10010,2807,18:10:23,18:57:10,7301,4.67,2023-08-03
597,8406,2589,19:16:47,19:59:56,6608,5.13,2023-08-06
682,10019,2743,20:24:11,21:09:54,7276,4.56,2023-08-08
723,10030,2932,19:34:54,20:23:47,7639,4.87,2023-08-10
725,10024,2760,20:06:08,20:52:08,7452,4.59,2023-08-13
707,9764,2766,19:42:17,20:28:24,7358,4.72,2023-08-15
719,10026,2773,19:20:12,20:06:26,7358,4.61,2023-08-16
535,7191,2106,20:00:46,20:36:22,5540,4.88,2023-08-20
772,10014,2851,19:26:39,20:14:24,7542,4.75,2023-08-23
796,10001,2685,19:23:20,20:08:05,0,4.47,2023-08-24
799,10029,2762,19:33:24,20:19:26,0,4.59,2023-08-27
796,10022,2883,19:12:38,20:00:42,0,4.79,2023-08-29
727,10020,2816,19:38:01,20:24:57,7573,4.68,2023-09-03
716,10008,2760,19:16:39,20:02:39,7473,4.6,2023-09-05
719,10008,2801,18:51:50,19:39:17,7421,4.66,2023-09-06
566,8479,2563,18:08:25,18:52:11,6652,5.04,2023-09-08
723,10026,2898,17:29:31,18:17:50,7599,4.82,2023-09-12
671,10008,2778,18:09:35,18:56:00,7365,4.63,2023-09-13
719,10006,2874,18:16:32,19:04:27,7661,4.79,2023-09-17
661,8377,2840,17:48:45,18:36:07,4,5.65,2023-09-21
678,10022,2791,18:40:33,19:27:04,7307,4.64,2023-09-24
653,10005,2757,17:30:49,18:16:47,7147,4.59,2023-09-26
694,10028,2815,17:19:22,18:06:17,7432,4.68,2023-09-28
535,7503,2238,17:22:08,17:59:26,5824,4.97,2023-10-03
710,10019,2766,17:32:45,18:18:52,7220,4.6,2023-10-04
672,10014,2747,17:59:46,18:45:33,7335,4.57,2023-10-08
797,10033,2857,16:48:31,17:36:30,0,4.75,2023-10-10
730,10038,2760,17:16:23,18:02:23,7494,4.58,2023-10-15
797,10018,2840,13:00:31,13:47:51,0,4.72,2023-10-29
731,10016,2918,09:16:52,10:05:30,7310,4.86,2023-10-30
662,10021,2778,08:33:43,09:20:01,7348,4.62,2023-11-01
624,8282,2826,09:21:17,10:09:45,7353,5.69,2023-11-04
736,10021,3282,13:47:52,14:42:33,7972,5.46,2023-11-07
684,10041,2940,11:26:07,12:15:07,7521,4.88,2023-11-10
798,10019,2731,13:01:36,13:47:07,0,4.54,2023-11-12
714,10013,3081,12:21:31,13:13:07,7689,5.13,2023-11-14
645,10088,2848,12:36:06,13:23:37,7411,4.71,2023-11-21
704,10021,2792,09:26:30,10:16:26,7255,4.64,2023-11-26
744,10014,2865,12:32:40,13:20:25,7468,4.77,2023-11-28
704,10015,2852,15:11:14,15:58:46,7445,4.75,2023-11-30
763,10018,2914,13:24:35,14:13:09,7536,4.85,2023-12-04
769,10031,3143,14:25:31,15:17:53,7852,5.22,2023-12-07
764,10033,3020,09:32:17,10:22:38,7853,5.02,2023-12-13
742,10023,2804,11:03:40,11:50:25,7495,4.66,2023-12-19
754,10024,2875,14:19:23,15:07:18,7598,4.78,2023-12-24
749,10025,2933,14:29:38,15:18:31,7651,4.88,2023-12-26
798,10023,2800,15:12:49,15:59:30,1,4.66,2023-12-29
513,10017,2817,15:10:01,15:56:58,7627,4.69,2023-12-31
737,10017,2970,14:24:05,15:13:36,7719,4.94,2024-01-04
568,7616,2333,13:45:00,14:23:54,6068,5.11,2024-01-10
576,7230,2178,17:06:13,17:42:31,0,5.02,2024-01-28
473,6621,2019,16:22:38,16:56:18,5139,5.08,2024-01-30
797,10027,2983,15:03:50,15:53:44,0,4.96,2024-02-02
751,10025,2881,13:59:12,14:47:23,7597,4.79,2024-02-13
732,9786,2795,16:04:27,16:51:01,7393,4.76,2024-02-15
736,10025,2968,15:03:01,15:52:30,7880,4.93,2024-02-18
847,10041,3315,13:38:30,14:33:54,8403,5.5,2024-02-24
759,10021,2939,14:05:58,14:54:57,7656,4.89,2024-02-25
801,10039,3010,15:24:30,16:14:41,7753,5.0,2024-03-01
842,10032,3036,16:37:27,17:28:03,0,5.04,2024-03-03
548,7166,2173,16:58:00,17:34:15,5594,5.05,2024-03-09
691,10028,2890,16:38:26,17:26:44,7606,4.8,2024-03-10
541,7125,2161,17:12:25,17:48:27,5651,5.05,2024-03-12
798,10036,3060,14:43:40,15:34:41,7866,5.08,2024-03-14
801,10028,2930,16:59:07,17:47:58,7819,4.87,2024-03-18
725,10030,2974,15:51:50,16:41:29,7766,4.94,2024-03-20
806,10036,3039,15:16:02,16:06:41,7783,5.05,2024-03-22
585,10027,2892,15:55:52,16:44:04,7672,4.81,2024-03-24
810,10032,3061,14:52:00,15:43:07,7895,5.09,2024-03-27
785,10025,3082,15:46:44,16:38:05,7913,5.12,2024-03-31
803,10020,3098,14:54:51,15:46:35,7927,5.15,2024-04-05
562,7162,2144,20:10:47,20:46:32,5713,4.99,2024-04-06
717,10030,2952,18:13:35,19:02:47,7856,4.91,2024-04-07
838,10020,3206,17:02:05,17:56:06,0,5.33,2024-04-09
841,10047,3046,17:57:35,18:48:20,0,5.05,2024-04-14
469,7367,2147,19:03:22,19:39:11,5579,4.86,2024-04-21
648,10177,2894,17:09:30,17:57:46,7896,4.74,2024-04-23
645,10182,2872,18:39:19,19:27:13,7884,4.7,2024-04-24
452,7209,2369,19:48:43,19:44:36,5664,5.48,2024-04-26
662,10183,3064,19:45:00,20:36:05,8064,5.01,2024-04-28
598,9240,2781,19:40:30,20:36:24,7532,5.02,2024-05-03
657,10199,3017,15:25:57,16:16:16,7935,4.93,2024-05-07
